Date,Open,High,Low,Close,Adj Close,Volume
2011-03-29,98675000.000000,102300000.000000,94500000.000000,94500000.000000,94500000.000000,0
2011-03-30,92125000.000000,93300000.000000,89925000.000000,91250000.000000,91250000.000000,0
2011-03-31,92650000.000000,93475000.000000,90075000.000000,90725000.000000,90725000.000000,0
2011-04-01,86800000.000000,90900000.000000,85000000.000000,89075000.000000,89075000.000000,0
2011-04-04,87350000.000000,89800000.000000,86175000.000000,87375000.000000,87375000.000000,0
2011-04-05,88450000.000000,88625000.000000,83425000.000000,84125000.000000,84125000.000000,0
2011-04-06,82175000.000000,86350000.000000,81500000.000000,83450000.000000,83450000.000000,0
2011-04-07,83875000.000000,88375000.000000,82725000.000000,84700000.000000,84700000.000000,0
2011-04-08,82675000.000000,89975000.000000,81625000.000000,87575000.000000,87575000.000000,0
2011-04-11,86275000.000000,88575000.000000,84050000.000000,86000000.000000,86000000.000000,0
2011-04-12,89625000.000000,91175000.000000,86100000.000000,87350000.000000,87350000.000000,0
2011-04-13,85150000.000000,88625000.000000,84300000.000000,84600000.000000,84600000.000000,0
2011-04-14,88025000.000000,89025000.000000,82375000.000000,83150000.000000,83150000.000000,0
2011-04-15,82100000.000000,84000000.000000,78525000.000000,79250000.000000,79250000.000000,0
2011-04-18,86025000.000000,89750000.000000,82075000.000000,82850000.000000,82850000.000000,0
2011-04-19,80825000.000000,81250000.000000,74375000.000000,74675000.000000,74675000.000000,0
2011-04-20,68775000.000000,69675000.000000,67350000.000000,68450000.000000,68450000.000000,0
2011-04-21,65550000.000000,67925000.000000,64200000.000000,64275000.000000,64275000.000000,0
2011-04-25,63750000.000000,64725000.000000,61200000.000000,61325000.000000,61325000.000000,0
2011-04-26,59875000.000000,60700000.000000,57125000.000000,58725000.000000,58725000.000000,0
2011-04-27,58875000.000000,63625000.000000,57075000.000000,57100000.000000,57100000.000000,0
2011-04-28,58450000.000000,58675000.000000,55025000.000000,55700000.000000,55700000.000000,0
2011-04-29,55550000.000000,56775000.000000,55450000.000000,55900000.000000,55900000.000000,0
